Crank position,Motor Frequency (Hz),No Bond Peak-Peak Median (mm),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Median (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Median (Hz),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Median (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,20b,46.25,46.381909547738694,1.1811329828136197,48.61,48.96222222222222,1.2241587232905016,0.49378652151584823,0.4982430723861458,0.044643897332635164,0.4913956425639329,0.49579064849415183,0.0422838157632544,4.559114929486169,4.534088314250719,0.23379819510814062
A,22,50.0,50.41243654822335,1.1897243516643368,53.6,53.50578680203046,1.1590288929629347,0.5426917510853899,0.5487088260627877,0.04907233603954134,0.5431469871125041,0.5484413404587708,0.04625014303516237,4.249362880886333,4.217908575970831,0.21559110256336975
A,24b,40.0,40.38316582914573,1.2943566428254831,44.87,44.54515151515151,1.2936077623903144,0.5892890816518928,0.5890166955128948,0.007020943111726369,0.5884299083089152,0.5928877761616329,0.040778569955085005,3.7169062351260926,3.7303246619393513,0.06852649978651441
A,26,56.25,57.39267676767677,2.638216673207011,77.28,76.85522842639594,1.8639308840223459,0.6395170367338682,0.6443369412099038,0.044337572382756124,0.6396344424470841,0.6336639907726496,0.06450272037892793,3.226285507071164,3.2505389555190183,0.12041381180066339
A,28,56.25,56.14949748743719,1.343455798893106,69.8,69.63979797979798,1.821618614096903,0.68946497517926,0.688608919704776,0.0071092039068595516,0.688336942590714,0.6933053456456122,0.046609748925354806,3.057567284175943,3.0447662617626596,0.0506445936382533
A,30,75.0,74.93055555555556,1.9067508160645659,76.03999999999999,76.56467005076142,1.4208945578964323,0.7384506321137351,0.7431813024719884,0.055013822418834915,0.736261511992722,0.7288567570118308,0.07479738857402211,2.514156618523965,2.492775350197436,0.04702816574394295
A,32c,103.75,104.19597989949749,2.2077764122443684,74.78999999999999,74.49243654822335,2.582820628748746,0.7824910374779601,0.7772943789743088,0.10301214257044514,0.7822702159718881,0.7628739130760457,0.11511934902936728,2.3668453767916398,2.414972812299413,0.5956210753762089
A,34,77.5,77.65943877551021,2.2464559418774366,63.57000000000001,63.98663265306123,1.8248486801348354,0.8352424589537516,0.8260462121008043,0.08451519395908348,0.8353130508084543,0.8263455474323849,0.08465027597533643,2.1032432432432038,2.105815659330195,0.02435657091512354
A,36,87.5,87.19065656565657,1.9488903710595038,92.24000000000001,92.11727272727273,2.6388563967375465,0.8818687885467902,0.8912545668953681,0.08560861317847948,0.8784301083934325,0.8880621329459187,0.07040221094105638,1.9415298818045708,1.912444465517362,0.0755374356474392
A,38,110.0,109.90577889447236,2.4163227072584723,108.44999999999999,108.98718592964825,2.960851658908913,0.9420717867785962,0.9283101665086522,0.023713441489667645,0.934502688679781,0.9339211998939531,0.0407332826855007,1.7814657310507513,1.7730560026433848,0.06084148868248883
A,40,103.75,103.7625,8.012229581353845,100.96000000000001,101.10130653266332,6.4910226507098105,0.9777103814664485,0.9691586457277843,0.07374691629436347,0.9837718356437022,0.978746098186767,0.09000614428668775,1.6645713546283782,1.6599156702401068,0.08966006127713232
B,17,36.25,36.32575757575758,1.1097483054000379,44.875,44.42949494949495,1.0417238482997766,0.4170559188575995,0.42034090020393444,0.034114232176832404,0.41798160209494223,0.4207529267784942,0.0315568190722492,6.175592105263189,6.16634979649678,0.27831654822272833
B,18,38.75,38.58040201005025,1.121334810287996,47.36,47.10838383838384,1.7994918668401287,0.44477654426416036,0.4478821308685019,0.03980204328874753,0.4412875212384342,0.44431441722179843,0.0307407512474691,5.167228675738405,5.144529506094729,0.2271754510666384
B,19,47.5,48.125,1.1767562581118025,51.1,51.095396825396826,1.0802563112868055,0.46681272718219374,0.4709039833079615,0.035891426966342635,0.46912832929782217,0.47302279730524893,0.03774325483558294,5.034163779261474,4.998631099427855,0.2587261661913553
B,19.5,53.75,53.88819095477387,1.0936565226865063,56.09,56.09,1.1919855039489224,0.47953350980166215,0.4838289461954598,0.0373226332429018,0.4802684874435867,0.48476875324203017,0.03668130986376266,4.790861365391033,4.774242062263303,0.23138789383712377
B,20,62.5,62.85175879396985,1.3420677631624083,66.06,66.25515151515151,1.1895930828711778,0.49088909833491234,0.49157135997546514,0.0038439401303186423,0.4911205406254854,0.4952692208286693,0.041788335156141616,4.566850265640225,4.586386003503117,0.10612475031111133
B,21,75.0,74.92462311557789,1.339228156144593,74.79,74.52313131313132,1.2347096466794691,0.5152195865878022,0.5146838236292837,0.003947618273529194,0.5144574952738197,0.5190573204395502,0.046171439023051666,4.422244902069883,4.442032214581868,0.08134749094274676
B,22,62.5,62.90829145728643,1.2429372573604567,69.8,69.36282828282829,1.2907209179873194,0.5396118248376851,0.5397214604657908,0.003964647165285722,0.5432892906815009,0.5463904464526514,0.04602408980298614,4.2604867644429145,4.27834820158226,0.07452129161603688
B,23,49.99,50.45492462311558,1.383543930426838,58.58,58.35792929292929,1.3509666608887863,0.5643510715145661,0.5679335649710572,0.03750460157223829,0.5671478830522907,0.571153579856,0.04125187785153115,4.022338168434771,3.985092992622105,0.18014699000153525
B,24,55.0,55.51767676767677,1.385545635182492,56.09,56.48857868020305,1.6720230963863107,0.5916211133455357,0.5946831375583777,0.046327087459487805,0.5887488791353994,0.5923523494553479,0.04258841654507019,3.431672811954224,3.4114760434320703,0.13438358986117663
B,25,83.75,84.0719696969697,1.632143699223395,72.3,72.78228426395938,2.213522993156091,0.6140494514491648,0.6176764661908104,0.036643576773632704,0.6156760596732163,0.6146492079578586,0.010825508022213402,3.5234968684760575,3.5287182245986655,0.14231791523508958
B,26,78.75,79.09722222222223,2.5185262512599293,97.22999999999999,97.14218274111676,3.254172644327338,0.637624974495001,0.6409752152914868,0.04063715020203755,0.6365307372864022,0.6405545692212689,0.040131646996848284,3.3063346181642412,3.262706247543947,0.12895758434492907
