Crank position,Motor Frequency (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,20b,4.624999999999962,4.599899892976587,0.1029712177225948
A,22,4.255000000000033,4.270992709705753,0.07497559425399394
A,24b,3.7296000000000156,3.7710580668896316,0.07317701480349165
A,26,3.24461538461546,3.2796395213675287,0.06340030055280577
A,28,3.073846153846089,3.060647589743585,0.051535405238325074
A,30,2.5160000000000493,2.50000562847609,0.03853854185816826
A,32c,2.3680000000000705,2.504941836643558,1.0557013715748196
A,34,2.145999999999965,2.128405594405595,0.08111285418125579
A,36,1.9425000000000063,1.9355730336019044,0.07827552306349077
A,38,1.8037499999999849,1.7937947863451902,0.06386816710388252
A,40,1.6818181818181908,1.6788638626354297,0.09261930530458524
B,17,6.289999999999962,6.318197641831853,0.16082106906551014
B,18,5.180000000000131,5.211879521739136,0.12084363997073941
B,19,5.115652173912967,5.094633255105407,0.09970835128620549
B,19.5,4.810000000000066,4.853032608695654,0.09843493922449181
B,20,4.625000000000099,4.641753980237162,0.11116935203757324
B,21,4.486736842105221,4.498692199446825,0.09515776362010216
B,22,4.343478260869518,4.329124308300398,0.08493402421024744
B,23,4.069999999999957,4.047245000000003,0.060269750345077734
B,24,3.453333333333308,3.444462820512824,0.0638014414427695
B,25,3.5520000000000507,3.5653199999999994,0.05512025303953101
B,26,3.3299999999999397,3.295016382685418,0.07782554960590367
B,27,3.2855999999999144,3.2503219230769225,0.06163627864324741
B,28,3.0738461538461497,3.080654153846152,0.041120780970227346
B,29b,2.60275862068963,16.585549172229648,28.17253747027353
B,30,2.9303999999999855,2.9257521762452114,0.0735538459601684
B,31,2.457857142857151,2.4768694671327918,0.0678229532985798
B,32,2.6311111111109557,2.5937678395646406,0.13383111434306588
B,33,2.2965517241379687,3.0462372531034014,6.679764547519886
B,34,2.0767741935484136,1.707135663885415,0.4645164660641882
C,15,7.188571428571313,7.220463506493488,0.17326042735013336
C,16,6.65999999999985,6.636185454545464,0.47581491558867317
C,17,5.953636363636286,5.906374138904561,0.14470331477769846
C,18,5.308695652174123,5.556506868227882,1.273171018794446
C,19,4.902500000000115,4.962544857707496,0.10920091773282269
C,20,4.625000000000099,4.647468652173913,0.11065587795158303
C,21,4.633043478260828,4.586500988142304,0.3035533124627156
C,22,4.4399999999999995,4.45850348202522,0.10523253166891765
C,23,4.070000000000066,4.076062670180055,0.06717924209647225
C,24,3.3711111111111176,3.3793266969811797,0.0692320795203909
C,25,3.769675324675357,3.820747460335358,0.6558221018145457
C,26b,3.3299999999999397,3.3184375142511677,0.24602920432606978
D,14,7.611428571428272,7.847507727592861,3.1227287000549477
D,15,7.168192771084833,-11.23286291689581,185.46860778353175
D,18,5.385108695652187,4.999488475916989,1.0882555437851136
D,20,4.826086956521507,4.788436750988145,0.15845996174162322
D,22,4.540909090909143,4.597813043478284,0.4412797551850744
D,25,3.4632000000000054,3.45810828061976,0.1739419056697307
E,15,7.082857142857373,8.235423029537936,2.4490167332928645
E,18,3.330000000000066,5.681403539095027,8.960806988727937
E,19,4.70640000000001,4.679772725906271,0.2274284816469502
E,20,4.717500000000149,4.788991166007911,0.14109532399720934
E,23,3.756923076923189,3.7429509603572484,0.3559827700817494
